n,epsilon,max_deviation
50000,2e-05,2.954803068888623e-12
10000,0.0001,2.4074561788545168e-12
5000,0.0002,1.2458228892953116e-12
1000,0.001,5.245843343049117e-11
500,0.002,7.534292634225892e-11
100,0.01,0.016955632909909646
50,0.02,8.430855935907464e-09
10,0.1,0.05001166321916553
5,0.2,0.04598733185852355
1,1.0,0.05699776507827245
