epoch,train_error,train_avg_loss,valid_error,valid_avg_loss,test_error,test_avg_loss
0,0.9013599999999999,2.3025850929940455,0.9009,2.3025850929940455
1,0.88644,2.3010880692986,0.8936,2.3018258712718214
2,0.88644,2.301023114782834,0.8936,2.301986614459048
3,0.88644,2.3010366321387212,0.8936,2.301964054987248
4,0.88644,2.301016213924943,0.8936,2.3019637991244193
5,0.88644,2.301024181547843,0.8936,2.302010123925338
6,0.88644,2.301019325655024,0.8936,2.3019790486063907
7,0.88644,2.301021829420871,0.8936,2.3019725210892763
8,0.88644,2.3010198712153023,0.8936,2.3020336344398653
9,0.88644,2.301021054125883,0.8936,2.3019470662989714
